Id,Username,Event Type,Platform,Item,Price (ETH),Price ($),From,To,Date,Original Creator
QXNzZXRFdmVudFR5cGU6ODc0MTY5NTM=,itsheyjeli,TRANSFER,Foundation (FND),Rolzay x AXL PHX - Escape To New Worlds (#6/12),0,,itsheyjeli,0xcda72070e455bb31c7690a170224ce43623d0b6f,19/03/2021,itsheyjeli
QXNzZXRFdmVudFR5cGU6ODc0MTYwNDU=,itsheyjeli,TRANSFER,Foundation (FND),Rolzay x AXL PHX - Escape To New Worlds (#6/12),0,,NullAddress,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,19/03/2021,itsheyjeli
QXNzZXRFdmVudFR5cGU6ODM4NDgzOTk=,itsheyjeli,TRANSFER,Foundation (FND),"Be yourself, everyone else is taken",0,,,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,11/03/2021,qfilmstv
QXNzZXRFdmVudFR5cGU6ODMzNTQwNjE=,itsheyjeli,SUCCESSFUL,SuperRare,Leaving Home In 2085,4.5,2166.56,,,09/03/2021,MarbleMannequin
QXNzZXRFdmVudFR5cGU6ODMzNTQwNDc=,itsheyjeli,TRANSFER,SuperRare,Leaving Home In 2085,0,,itsheyjeli,0xb64ea2f253a7f23f27cfe00cd5306618ae487ddb,09/03/2021,MarbleMannequin
QXNzZXRFdmVudFR5cGU6ODMxNjYzODI=,itsheyjeli,TRANSFER,Foundation (FND),Rolzay x AXL PHX - Escape To New Worlds (#5/12),0,,itsheyjeli,0xcda72070e455bb31c7690a170224ce43623d0b6f,08/03/2021,itsheyjeli
QXNzZXRFdmVudFR5cGU6ODMxNjYyMTc=,itsheyjeli,TRANSFER,Foundation (FND),Rolzay x AXL PHX - Escape To New Worlds (#5/12),0,,NullAddress,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,08/03/2021,itsheyjeli
QXNzZXRFdmVudFR5cGU6ODE4MDEzNjA=,itsheyjeli,TRANSFER,Known Origin,Late Night Grocery Run,0,,itsheyjeli,0x6c3675c755c06b236cb10b5acfa0445fd8aad455,03/03/2021,
QXNzZXRFdmVudFR5cGU6ODExMzA1NDU=,itsheyjeli,TRANSFER,Foundation (FND),Rolzay x AXL PHX - Escape To New Worlds (#4/12),0,,itsheyjeli,0xcda72070e455bb31c7690a170224ce43623d0b6f,01/03/2021,itsheyjeli
QXNzZXRFdmVudFR5cGU6ODExMzA0MjM=,itsheyjeli,TRANSFER,Foundation (FND),Rolzay x AXL PHX - Escape To New Worlds (#4/12),0,,NullAddress,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,01/03/2021,itsheyjeli
QXNzZXRFdmVudFR5cGU6ODEwNTMxMjY=,itsheyjeli,TRANSFER,SuperRare,My Morning Isolation,0,,GaryCartlidge,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,01/03/2021,GaryCartlidge
QXNzZXRFdmVudFR5cGU6ODA4MjA4Njg=,itsheyjeli,TRANSFER,Foundation (FND),five star,0,,,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,28/02/2021,catswilleatyou
QXNzZXRFdmVudFR5cGU6ODAzODcxMjQ=,itsheyjeli,SUCCESSFUL,Known Origin,The Cruel Mess,0.15,2166.56,,,26/02/2021,GaryCartlidge
QXNzZXRFdmVudFR5cGU6ODAzODcxMjI=,itsheyjeli,TRANSFER,Known Origin,The Cruel Mess,0,,NullAddress,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,26/02/2021,GaryCartlidge
QXNzZXRFdmVudFR5cGU6ODAzNzU1MTk=,itsheyjeli,TRANSFER,Foundation (FND),Rolzay x AXL PHX - Escape To New Worlds (#3/12),0,,itsheyjeli,0xcda72070e455bb31c7690a170224ce43623d0b6f,26/02/2021,itsheyjeli
QXNzZXRFdmVudFR5cGU6ODAzNzQ5NTk=,itsheyjeli,TRANSFER,Foundation (FND),Rolzay x AXL PHX - Escape To New Worlds (#3/12),0,,NullAddress,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,26/02/2021,itsheyjeli
QXNzZXRFdmVudFR5cGU6ODAyNDYxMzE=,itsheyjeli,SUCCESSFUL,SuperRare,Bedroom 2:45am,2.4,2166.56,,,25/02/2021,
QXNzZXRFdmVudFR5cGU6ODAyNDYxMjY=,itsheyjeli,TRANSFER,SuperRare,Bedroom 2:45am,0,,,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,25/02/2021,
QXNzZXRFdmVudFR5cGU6ODAxNTIyMzg=,itsheyjeli,TRANSFER,Foundation (FND),You Can't Kill Our Dreams,0,,,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,25/02/2021,afroscope
QXNzZXRFdmVudFR5cGU6ODAxNTIyMzY=,itsheyjeli,TRANSFER,Foundation (FND),Wearing,0,,,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,25/02/2021,Nusi
QXNzZXRFdmVudFR5cGU6ODAxNDY3MTY=,itsheyjeli,SUCCESSFUL,SuperRare,digital mass III,0.5,2166.56,,,25/02/2021,der_probst
QXNzZXRFdmVudFR5cGU6ODAxNDY3MDg=,itsheyjeli,TRANSFER,SuperRare,digital mass III,0,,der_probst,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,25/02/2021,der_probst
QXNzZXRFdmVudFR5cGU6ODAxNDY1MjQ=,itsheyjeli,SUCCESSFUL,SuperRare,Iconic III,0.8,2166.56,,,25/02/2021,der_probst
QXNzZXRFdmVudFR5cGU6ODAxNDY1MTY=,itsheyjeli,TRANSFER,SuperRare,Iconic III,0,,der_probst,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,25/02/2021,der_probst
QXNzZXRFdmVudFR5cGU6Nzk5NzQ4NDE=,itsheyjeli,TRANSFER,Foundation (FND),Rolzay x AXL PHX - Escape To New Worlds (#2/12),0,,itsheyjeli,0xcda72070e455bb31c7690a170224ce43623d0b6f,24/02/2021,itsheyjeli
QXNzZXRFdmVudFR5cGU6Nzk5NzQ2OTY=,itsheyjeli,TRANSFER,Foundation (FND),Rolzay x AXL PHX - Escape To New Worlds (#2/12),0,,NullAddress,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,24/02/2021,itsheyjeli
QXNzZXRFdmVudFR5cGU6Nzk5MTg4Njg=,itsheyjeli,TRANSFER,Foundation (FND),Relax With Me 02,0,,,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,24/02/2021,
